Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	0.00549377
2.01	0.0793322
2.02	0.137544
2.03	0.161246
2.04	0.128211
2.05	0.0946786
2.06	0.0519865
2.07	-0.0089966
2.08	-0.0381667
2.09	-0.047132
2.1	-0.0348514
2.11	-0.0428932
2.12	-0.0616963
2.13	-0.0587337
2.14	-0.0694014
2.15	-0.0756917
2.16	-0.0783052
2.17	-0.059119
2.18	-0.0165743
2.19	-0.00881679
2.2	-0.010607
2.21	-0.0170184
2.22	-0.02581
2.23	-0.031835
2.24	-0.0432564
2.25	-0.0326288
2.26	-0.0323838
2.27	-0.0422537
2.28	-0.0364931
2.29	-0.0321189
2.3	-0.0360218
2.31	-0.0572381
2.32	-0.0645844
2.33	-0.0380154
2.34	-0.0377079
2.35	-0.0408347
2.36	-0.0432907
2.37	-0.0475319
2.38	-0.0381202
2.39	-0.0504083
2.4	-0.0546763
2.41	-0.0512618
2.42	-0.0125825
2.43	0.0475556
2.44	0.0641868
2.45	0.0742371
2.46	0.0693317
2.47	0.05656
2.48	0.0389774
2.49	0.00204674
2.5	-0.0155898
2.51	-0.0328929
2.52	-0.049005
2.53	-0.0578093
2.54	-0.0852454
2.55	-0.0634599
2.56	0.0784408
2.57	0.343376
2.58	0.50945
2.59	0.346988
2.6	0.0663697
2.61	-0.128737
2.62	-0.182417
2.63	-0.143222
2.64	-0.103726
2.65	-0.0644898
2.66	-0.0574093
2.67	-0.0600431
2.68	-0.0387893
2.69	-0.0354983
2.7	-0.017549
2.71	-0.00543406
2.72	-0.0083258
2.73	0.0196316
2.74	0.0429479
2.75	0.0584061
2.76	0.0795314
2.77	0.111275
2.78	0.161735
2.79	0.190303
2.8	0.227584
2.81	0.247553
2.82	0.248998
2.83	0.258768
2.84	0.244063
2.85	0.212188
2.86	0.168719
2.87	0.117987
2.88	0.087238
2.89	0.05335
2.9	0.0407555
2.91	0.0298526
2.92	0.0178997
2.93	0.0332372
2.94	0.0396306
2.95	0.0445135
2.96	0.0451599
2.97	0.0434835
2.98	0.052587
2.99	0.0411258
3	0.0453742
3.01	0.0509679
3.02	0.0411378
3.03	0.0393254
3.04	0.0226304
3.05	0.0202202
3.06	0.0211414
3.07	0.0164261
3.08	0.0230891
3.09	0.0151543
3.1	0.0220212
3.11	0.019474
3.12	0.0140949
3.13	0.0302898
3.14	0.01896
3.15	0.0197028
3.16	0.0257559
3.17	0.020712
3.18	0.0235266
3.19	0.0146746
3.2	0.0141628
3.21	-0.00372255
3.22	-0.0127302
3.23	0.00441422
3.24	-0.00642795
3.25	-0.0119363
3.26	0.00598551
3.27	0.0242546
3.28	0.053825
3.29	0.0627686
3.3	0.0760836
3.31	0.0871021
3.32	0.0798155
3.33	0.0614885
3.34	0.00921699
3.35	-0.0380239
3.36	-0.0611765
3.37	-0.0782644
3.38	-0.0930422
3.39	-0.133365
3.4	-0.10674
3.41	0.0576839
3.42	0.327527
3.43	0.449788
3.44	0.280495
3.45	0.0182249
3.46	-0.166016
3.47	-0.235443
3.48	-0.215985
3.49	-0.179682
3.5	-0.136711
3.51	-0.118338
3.52	-0.115207
3.53	-0.092633
3.54	-0.076524
3.55	-0.0593645
3.56	-0.0522407
3.57	-0.0567654
3.58	-0.0427147
3.59	-0.0281242
3.6	-0.00743255
3.61	0.0268239
3.62	0.0612328
3.63	0.106389
3.64	0.120469
3.65	0.135191
3.66	0.166406
3.67	0.172185
3.68	0.161702
3.69	0.136824
3.7	0.10852
3.71	0.0722913
3.72	0.0227564
3.73	-0.00858839
3.74	-0.0334728
3.75	-0.0432982
3.76	-0.0502615
3.77	-0.0608157
3.78	-0.0619015
3.79	-0.0731854
3.8	-0.068887
3.81	-0.0604891
3.82	-0.0685953
3.83	-0.0598318
3.84	-0.0496788
3.85	-0.0445273
3.86	-0.0441362
3.87	-0.0518005
3.88	-0.0580173
3.89	-0.0797211
3.9	-0.0849961
3.91	-0.0921319
3.92	-0.0842297
3.93	-0.0558863
3.94	-0.0552396
3.95	-0.059657
3.96	-0.0744075
3.97	-0.0900572
3.98	-0.0758995
3.99	-0.0715469
4	-0.063433
4.01	-0.0649985
4.02	-0.0667112
4.03	-0.0368922
4.04	-0.0147727
4.05	0.0121609
4.06	0.0350938
4.07	0.0574052
4.08	0.0767854
4.09	0.0596373
4.1	0.0243255
4.11	-0.029048
4.12	-0.089331
4.13	-0.105637
4.14	-0.106109
4.15	-0.094027
4.16	-0.0955573
4.17	-0.0605798
4.18	0.102204
4.19	0.372437
4.2	0.506699
4.21	0.342817
4.22	0.0466105
4.23	-0.155751
4.24	-0.219132
4.25	-0.183713
4.26	-0.125685
4.27	-0.0916412
4.28	-0.069508
4.29	-0.063518
4.3	-0.044942
4.31	-0.0341318
4.32	-0.0349716
4.33	-0.0228668
4.34	-0.0266808
4.35	-0.0146238
4.36	0.00628601
4.37	0.00598873
4.38	0.0333833
4.39	0.0745107
4.4	0.120314
4.41	0.159264
4.42	0.191544
4.43	0.219672
4.44	0.200668
4.45	0.173875
4.46	0.144438
4.47	0.0937582
4.48	0.0561136
