Time	EMG	Muscle Force
0	0	0.223332
0.001	0	0.223332
0.002	0	0.22295
0.003	0	0.22295
0.004	0	0.22295
0.005	0	0.222569
0.006	0	0.222569
0.007	0	0.222569
0.008	0	0.222188
0.009	0	0.222188
0.01	0	0.221807
0.011	0	0.221807
0.012	0	0.221427
0.013	0	0.221427
0.014	0	0.221046
0.015	0	0.221046
0.016	0	0.221046
0.017	0	0.220664
0.018	0	0.220283
0.019	0	0.220283
0.02	0	0.220283
0.021	0	0.219902
0.022	0	0.219902
0.023	0	0.219522
0.024	0	0.219522
0.025	0	0.219522
0.026	0	0.219141
0.027	0	0.219141
0.028	0	0.219141
0.029	0	0.219141
0.03	0	0.219141
0.031	0	0.21876
0.032	0	0.21876
0.033	0	0.21876
0.034	0	0.21876
0.035	0	0.21876
0.036	0	0.218379
0.037	0	0.218379
0.038	0	0.218379
0.039	0	0.218379
0.04	0	0.218379
0.041	0	0.218379
0.042	0	0.218379
0.043	0	0.217998
0.044	0	0.217998
0.045	0	0.217998
0.046	0	0.217998
0.047	0	0.217998
0.048	0	0.217998
0.049	0	0.217998
0.05	0	0.217998
0.051	1.16459	0.217617
0.052	-0.673494	0.217617
0.053	-2.01296	0.217617
0.054	-1.10253	0.217617
0.055	0.408625	0.217617
0.056	0.46013	0.217617
0.057	0.637495	0.217617
0.058	0.769659	0.217617
0.059	0.444223	0.217617
0.06	-0.0770282	0.217617
0.061	-0.624648	0.217617
0.062	-1.03222	0.217617
0.063	-0.858869	0.217617
0.064	-0.231345	0.217617
0.065	0.635694	0.217617
0.066	1.55067	0.217617
0.067	1.92584	0.217617
0.068	0.389199	0.217617
0.069	-2.03134	0.217617
0.07	-2.96846	0.217617
0.071	-0.614116	0.217617
0.072	1.12102	0.217617
0.073	1.6877	0.217617
0.074	1.31966	0.217617
0.075	0.381996	0.217617
0.076	-0.395049	0.217617
0.077	-0.786243	0.217617
0.078	-0.8453	0.217617
0.079	-0.775582	0.217617
0.08	-0.524837	0.217617
0.081	0.0763173	0.217617
0.082	0.894359	0.217617
0.083	1.77083	0.217617
0.084	1.64079	0.217617
0.085	-0.510793	0.217617
0.086	-2.35728	0.217617
0.087	-2.22853	0.217617
0.088	0.318312	0.217617
0.089	1.03265	0.217617
0.09	1.02106	0.217617
0.091	0.824163	0.217617
0.092	0.484754	0.217617
0.093	0.0218503	0.217236
0.094	-0.488081	0.217236
0.095	-1.04051	0.217617
0.096	-1.26536	0.217617
0.097	-0.719285	0.217617
0.098	0.494489	0.217617
0.099	1.64478	0.217617
0.1	2.01179	0.217236
0.101	0.9912	0.217617
0.102	-1.37405	0.217617
0.103	-2.78239	0.217617
0.104	-1.4187	0.217617
0.105	1.00101	0.217617
0.106	1.26516	0.217617
0.107	0.868428	0.217617
0.108	0.397266	0.217617
0.109	0.070647	0.217617
0.11	-0.22956	0.217617
0.111	-0.555052	0.217617
0.112	-0.703949	0.217617
0.113	-0.60645	0.217617
0.114	-0.177219	0.217617
0.115	0.300314	0.217617
0.116	1.11713	0.217617
0.117	1.64497	0.217617
0.118	0.466597	0.217617
0.119	-1.55032	0.217617
0.12	-2.4007	0.217617
0.121	-0.271232	0.217617
0.122	0.963391	0.217617
0.123	0.927182	0.217617
0.124	0.677457	0.217617
0.125	0.275175	0.217617
0.126	-0.0245588	0.217617
0.127	-0.232177	0.217617
0.128	-0.409615	0.217617
0.129	-0.650395	0.217617
0.13	-0.795572	0.217617
0.131	-0.467887	0.217617
0.132	0.427169	0.217617
0.133	1.89539	0.217617
0.134	2.14819	0.217617
0.135	-0.218206	0.217617
0.136	-2.59077	0.217617
0.137	-2.63898	0.217617
0.138	0.550919	0.217617
0.139	1.58706	0.217617
0.14	0.975722	0.217617
0.141	0.416198	0.217617
0.142	0.228389	0.217617
0.143	-0.175279	0.217617
0.144	-0.506923	0.217617
0.145	-0.741611	0.217617
0.146	-0.730058	0.217617
0.147	-0.444353	0.217617
0.148	0.193474	0.217617
0.149	1.06558	0.217617
0.15	1.80801	0.217617
0.151	1.19836	0.217617
0.152	-1.14647	0.217617
0.153	-2.6331	0.217617
0.154	-1.42718	0.217236
0.155	0.83922	0.217617
0.156	1.12326	0.217236
0.157	0.905544	0.217236
0.158	0.598962	0.217236
0.159	0.181801	0.217236
0.16	-0.283737	0.217617
0.161	-0.598533	0.217236
0.162	-0.794682	0.217236
0.163	-0.851874	0.217236
0.164	-0.340582	0.217236
0.165	0.669212	0.217236
0.166	1.47726	0.217236
0.167	1.67012	0.217617
0.168	0.321257	0.217236
0.169	-1.81835	0.217617
0.17	-2.71824	0.217236
0.171	-0.366179	0.217236
0.172	1.31142	0.217617
0.173	1.31638	0.217236
0.174	0.933331	0.217617
0.175	0.304409	0.217236
0.176	-0.298547	0.217236
0.177	-0.843342	0.217617
0.178	-0.86976	0.217617
0.179	-0.487316	0.217236
0.18	-0.204882	0.217617
0.181	0.153146	0.217617
0.182	0.725604	0.217617
0.183	1.42132	0.217617
0.184	1.33861	0.217617
0.185	-0.450192	0.217617
0.186	-2.08957	0.217617
0.187	-2.09574	0.217617
0.188	0.468683	0.217617
0.189	1.18057	0.217617
0.19	0.933209	0.217617
0.191	0.517605	0.217617
0.192	0.113314	0.217617
0.193	-0.214794	0.217617
0.194	-0.404237	0.217617
0.195	-0.42581	0.217617
0.196	-0.455651	0.217617
0.197	-0.378284	0.217617
0.198	-0.426148	0.217617
0.199	0.683685	0.217617
0.2	1.79315	0.217617
0.201	1.17795	0.217617
0.202	-0.868098	0.217617
0.203	-2.23321	0.217617
0.204	-1.22986	0.217617
0.205	1.00695	0.217617
0.206	0.973067	0.217617
0.207	0.463108	0.217617
0.208	0.270123	0.217617
0.209	0.0665267	0.217617
0.21	-0.297677	0.217617
0.211	-0.476775	0.217617
0.212	-0.459216	0.217617
0.213	-0.134614	0.217617
0.214	-0.042554	0.217617
0.215	-0.32008	0.217617
0.216	1.0494	0.217617
0.217	1.59192	0.217617
0.218	0.410277	0.217617
0.219	-1.45325	0.217617
0.22	-2.25987	0.217617
0.221	-0.367177	0.217617
0.222	1.09536	0.217617
0.223	1.06743	0.217617
0.224	0.816627	0.217617
0.225	0.272899	0.217617
0.226	-0.482738	0.217617
0.227	-0.646273	0.217617
0.228	-0.490212	0.217617
0.229	-0.312827	0.217617
0.23	0.057857	0.217617
0.231	-0.268304	0.217617
0.232	0.0293783	0.217617
0.233	1.53116	0.217617
0.234	1.43329	0.217617
0.235	-0.248374	0.217617
0.236	-1.96959	0.217617
0.237	-2.02021	0.217617
0.238	0.562835	0.217617
0.239	1.21913	0.217617
0.24	0.857391	0.217617
0.241	0.300119	0.217617
0.242	-0.12584	0.217617
0.243	-0.219508	0.217617
0.244	-0.296763	0.217617
0.245	-0.436293	0.217617
0.246	-0.250623	0.217617
0.247	0.106159	0.217617
0.248	-0.57601	0.217617
0.249	0.373836	0.217617
0.25	1.49823	0.217617
0.251	1.1207	0.217617
0.252	-0.719042	0.217617
0.253	-2.02947	0.217617
0.254	-1.16912	0.217617
0.255	0.955539	0.217617
0.256	0.961127	0.217617
0.257	0.529472	0.217617
0.258	0.092509	0.217617
0.259	-0.0268876	0.217617
0.26	-0.146836	0.217617
0.261	-0.348515	0.217617
0.262	-0.355637	0.217617
0.263	-0.0795936	0.217236
0.264	-0.236415	0.217617
0.265	-0.759824	0.217617
0.266	0.859699	0.217617
0.267	1.71756	0.217617
0.268	0.871531	0.217617
0.269	-1.01408	0.217236
0.27	-2.08419	0.217617
0.271	-0.571198	0.217617
0.272	0.702756	0.217617
0.273	0.749284	0.217617
0.274	0.496742	0.217617
0.275	0.0599956	0.217236
0.276	-0.119321	0.217617
0.277	-0.028752	0.217617
0.278	-0.0952186	0.217236
0.279	-0.17316	0.217236
0.28	-0.0276218	0.217617
0.281	-0.746387	0.217236
0.282	-0.612334	0.217617
0.283	1.16447	0.217617
0.284	1.61111	0.217617
0.285	0.279949	0.217617
0.286	-1.4135	0.217236
0.287	-1.74283	0.217236
0.288	0.287005	0.217236
0.289	0.760231	0.217617
0.29	0.617059	0.217236
0.291	0.428641	0.217617
0.292	0.141648	0.217617
0.293	-0.290407	0.217617
0.294	-0.534152	0.217236
0.295	-0.366425	0.217617
0.296	-0.0805143	0.217617
0.297	0.163698	0.217617
0.298	-0.583666	0.217617
0.299	0.234574	0.217617
0.3	1.51418	0.217617
0.301	1.18272	0.217617
0.302	-0.533416	0.217617
0.303	-1.92838	0.217617
0.304	-1.59678	0.217617
0.305	0.645268	0.217617
0.306	1.20029	0.217617
0.307	0.715797	0.217617
0.308	0.0480611	0.217617
0.309	-0.0282583	0.217617
0.31	-0.0257532	0.217617
0.311	-0.177164	0.217617
0.312	-0.31004	0.217617
0.313	-0.306699	0.217617
0.314	-0.426247	0.217617
0.315	-0.818655	0.217617
0.316	0.724993	0.217617
0.317	1.77275	0.217617
0.318	1.2211	0.217617
0.319	-0.765653	0.217617
0.32	-2.22985	0.217617
0.321	-0.963143	0.217617
0.322	0.622235	0.217617
0.323	0.874437	0.217617
0.324	0.85008	0.217617
0.325	0.424082	0.217617
0.326	-0.115911	0.217617
0.327	-0.519095	0.217617
0.328	-0.74486	0.217617
0.329	-0.530915	0.217617
0.33	0.0777654	0.217617
0.331	0.0185542	0.217617
0.332	0.158923	0.217617
0.333	1.52461	0.217617
0.334	1.40659	0.217617
0.335	-0.27954	0.217236
0.336	-2.14768	0.217617
0.337	-2.59327	0.217617
0.338	0.401869	0.217236
0.339	1.85999	0.217236
0.34	1.40893	0.217236
0.341	0.51384	0.217236
0.342	-0.265695	0.217236
0.343	-0.746144	0.217236
0.344	-0.626951	0.217236
0.345	-0.298822	0.217236
0.346	-0.118969	0.217236
0.347	0.0850332	0.217236
0.348	-0.544053	0.217236
0.349	0.304608	0.217236
0.35	1.57015	0.217236
0.351	1.3167	0.217236
0.352	-0.454641	0.217236
0.353	-1.94875	0.217236
0.354	-1.59525	0.217236
0.355	0.610886	0.217236
0.356	0.882857	0.217236
0.357	0.617337	0.217617
0.358	0.335977	0.217236
0.359	0.0773974	0.217617
0.36	-0.16353	0.217617
0.361	-0.21046	0.217617
0.362	-0.260662	0.217617
0.363	-0.301484	0.217617
0.364	-0.334357	0.217617
0.365	-0.8003	0.217617
0.366	0.779292	0.217617
0.367	1.73523	0.217236
0.368	1.02691	0.217617
0.369	-0.912232	0.217617
0.37	-2.14534	0.217617
0.371	-0.796092	0.217617
0.372	0.83288	0.217236
0.373	0.782805	0.217617
0.374	0.566116	0.217617
0.375	0.168545	0.217617
0.376	-0.0468348	0.217617
0.377	-0.0825386	0.217617
0.378	-0.292201	0.217617
0.379	-0.494891	0.217617
0.38	-0.248775	0.217617
0.381	-0.432417	0.217617
0.382	-0.343704	0.217617
0.383	1.41703	0.217617
0.384	1.751	0.217617
0.385	0.220152	0.217236
0.386	-1.53742	0.217617
0.387	-2.09177	0.217617
0.388	-0.0212681	0.217617
0.389	0.819094	0.217617
0.39	0.752117	0.217617
0.391	0.496074	0.217617
0.392	0.171941	0.217617
0.393	-0.0478484	0.217617
0.394	-0.197289	0.217617
0.395	-0.260662	0.217617
0.396	-0.279946	0.217617
0.397	-0.160373	0.217617
0.398	-0.940873	0.217617
0.399	-0.110594	0.217617
0.4	1.39776	0.217617
0.401	1.64924	0.217617
0.402	0.224891	0.217617
0.403	-1.63939	0.217617
0.404	-1.83506	0.217617
0.405	0.281188	0.217617
0.406	0.757222	0.217617
0.407	0.698753	0.217617
0.408	0.479709	0.217617
0.409	0.122139	0.217617
0.41	-0.33457	0.217617
0.411	-0.585027	0.217236
0.412	-0.458	0.217617
0.413	0.0862755	0.217617
0.414	0.354665	0.217617
0.415	-0.631801	0.217617
0.416	0.379163	0.217617
0.417	1.40006	0.217617
0.418	0.932352	0.217617
0.419	-0.857224	0.217617
0.42	-2.16383	0.217617
0.421	-0.859403	0.217617
0.422	0.964566	0.217617
0.423	0.982036	0.217617
0.424	0.521349	0.217617
0.425	0.182639	0.217617
0.426	0.039394	0.217617
0.427	-0.201383	0.217617
0.428	-0.473615	0.217617
0.429	-0.460697	0.217617
0.43	-0.112978	0.217617
0.431	-0.33402	0.217617
0.432	-0.366807	0.217236
0.433	1.25415	0.217617
0.434	1.5868	0.217617
0.435	0.280896	0.217617
0.436	-1.38228	0.217617
0.437	-2.11819	0.217617
0.438	-0.0611485	0.217617
0.439	0.970849	0.217617
0.44	0.938017	0.217617
0.441	0.668745	0.217617
0.442	-0.0329661	0.217617
0.443	-0.419253	0.217617
0.444	-0.361217	0.217617
0.445	-0.358661	0.217617
0.446	-0.362626	0.217617
0.447	-0.00861124	0.217617
0.448	-0.427382	0.217617
0.449	0.278054	0.217617
0.45	1.49531	0.217617
0.451	1.34969	0.217617
0.452	-0.273811	0.217617
0.453	-1.86586	0.217617
0.454	-1.82303	0.217617
0.455	0.371952	0.217617
0.456	0.725069	0.217617
0.457	0.786078	0.217617
0.458	0.775344	0.217617
0.459	0.284961	0.217617
0.46	-0.260809	0.217617
0.461	-0.562713	0.217617
0.462	-0.543577	0.217617
0.463	-0.256981	0.217236
0.464	-0.119054	0.217617
0.465	-0.704006	0.217617
0.466	0.725656	0.217617
0.467	1.75371	0.217617
0.468	1.15586	0.217617
0.469	-0.851409	0.217617
0.47	-2.19894	0.217617
0.471	-1.07037	0.217617
0.472	0.690769	0.217617
0.473	0.800531	0.217617
0.474	0.720673	0.217617
0.475	0.483512	0.217617
0.476	0.160773	0.217617
0.477	-0.255567	0.217617
0.478	-0.735361	0.217617
0.479	-0.704169	0.217617
0.48	-0.063757	0.217617
0.481	-0.0537986	0.217617
0.482	-0.313432	0.217617
0.483	1.2921	0.217617
0.484	1.65706	0.217617
0.485	0.33392	0.217617
0.486	-1.45639	0.217617
0.487	-2.3459	0.217617
0.488	-0.287248	0.217617
0.489	0.826685	0.217617
0.49	1.17686	0.217617
0.491	0.788759	0.217617
0.492	0.294205	0.217617
0.493	-0.20766	0.217236
0.494	-0.581768	0.217617
0.495	-0.64116	0.217617
0.496	-0.396279	0.217617
0.497	-0.782867	0.217617
0.498	0.0615552	0.217236
0.499	1.6397	0.217236
0.5	1.69191	0.217617
0.501	0.153606	0.217617
0.502	-1.61224	0.217617
0.503	-2.00911	0.217236
0.504	0.0659444	0.217617
0.505	0.6611	0.217236
0.506	0.744554	0.217617
0.507	0.645395	0.217617
0.508	0.31252	0.217617
0.509	-0.0899874	0.217236
0.51	-0.396737	0.217236
0.511	-0.586701	0.217236
0.512	-0.405008	0.217617
0.513	-0.00232452	0.217236
0.514	-0.638375	0.217236
0.515	0.598082	0.217236
0.516	1.65165	0.217236
0.517	0.99123	0.217236
0.518	-0.855559	0.217236
0.519	-1.93343	0.217236
0.52	-0.896147	0.217236
0.521	0.871574	0.217236
0.522	0.896981	0.217236
0.523	0.441339	0.217236
0.524	-0.124324	0.217236
0.525	-0.245228	0.217617
0.526	0.0374016	0.217617
0.527	-0.0154687	0.217236
0.528	-0.198393	0.217236
0.529	-0.18683	0.217236
0.53	-0.384028	0.217617
0.531	-0.67749	0.217617
0.532	0.989941	0.217617
0.533	1.60279	0.217617
0.534	0.615056	0.217617
0.535	-1.20262	0.217236
0.536	-2.12902	0.217236
0.537	-0.262091	0.217617
0.538	0.969114	0.217617
0.539	0.797248	0.217617
0.54	0.349444	0.217617
0.541	0.127922	0.217617
0.542	0.0234591	0.217617
0.543	-0.187235	0.217617
0.544	-0.241594	0.217617
0.545	-0.572491	0.217236
0.546	-0.371609	0.217617
0.547	-0.447242	0.217617
0.548	0.184646	0.217236
0.549	1.5478	0.217617
0.55	1.44456	0.217617
0.551	-0.186008	0.217236
0.552	-1.75937	0.217236
0.553	-1.87711	0.217236
0.554	0.380756	0.217236
0.555	0.932627	0.217236
0.556	0.78884	0.217236
0.557	0.488668	0.217236
0.558	0.169701	0.217236
0.559	-0.268892	0.217236
0.56	-0.587197	0.217236
0.561	-0.545401	0.217236
0.562	-0.164209	0.217236
0.563	0.258346	0.217236
0.564	-0.545245	0.217236
0.565	0.421963	0.217236
0.566	1.44545	0.217236
0.567	0.975559	0.217236
0.568	-0.717348	0.217236
0.569	-1.89429	0.217236
0.57	-1.07033	0.217236
0.571	0.832577	0.217236
0.572	0.836572	0.217236
0.573	0.537866	0.217236
0.574	0.133204	0.217236
0.575	-0.140769	0.217617
0.576	-0.011692	0.217617
0.577	-0.131423	0.217236
0.578	-0.427026	0.217236
0.579	-0.219459	0.217236
0.58	-0.241207	0.217236
0.581	-0.732285	0.217236
0.582	0.900863	0.217236
0.583	1.76684	0.217236
0.584	0.782648	0.217236
0.585	-1.21436	0.217617
0.586	-2.21644	0.217236
0.587	-0.395305	0.217236
0.588	0.984529	0.217236
0.589	0.861466	0.217236
0.59	0.479661	0.217236
0.591	0.121311	0.217236
0.592	-0.162471	0.217236
0.593	-0.339949	0.217236
0.594	-0.434538	0.217236
0.595	-0.323823	0.217236
0.596	0.0863204	0.217236
0.597	-0.32916	0.217236
0.598	-0.0587916	0.217236
0.599	1.43114	0.217236
0.6	1.38337	0.217236
0.601	-0.414283	0.217236
0.602	-1.89362	0.217236
0.603	-1.82005	0.217236
0.604	0.671355	0.217236
0.605	1.2745	0.217236
0.606	0.836307	0.217236
0.607	0.283272	0.217236
0.608	-0.128533	0.217236
0.609	-0.319987	0.217236
0.61	-0.418283	0.217617
0.611	-0.523793	0.217236
0.612	-0.280941	0.217236
0.613	0.136149	0.217236
0.614	-0.516139	0.217236
0.615	0.561675	0.217236
0.616	1.70243	0.217236
0.617	1.25182	0.217236
0.618	-0.669951	0.217236
0.619	-2.21855	0.217236
0.62	-1.71547	0.217617
0.621	0.420974	0.217617
0.622	1.09573	0.217617
0.623	1.1319	0.217617
0.624	0.56648	0.217617
0.625	0.053079	0.217617
0.626	-0.237375	0.217617
0.627	-0.47399	0.217617
0.628	-0.595923	0.217617
0.629	-0.367116	0.217617
0.63	-0.268354	0.217617
0.631	-0.625247	0.217617
0.632	0.860624	0.217617
0.633	1.70364	0.217617
0.634	1.17174	0.217617
0.635	-0.643257	0.217617
0.636	-2.21307	0.217617
0.637	-1.03078	0.217617
0.638	0.526328	0.217617
0.639	0.732962	0.217617
0.64	0.612002	0.217617
0.641	0.527305	0.217617
0.642	0.172224	0.217617
0.643	-0.375904	0.217617
0.644	-0.598219	0.217617
0.645	-0.427353	0.217617
0.646	0.0297559	0.217617
0.647	-0.384194	0.217617
0.648	-0.199826	0.217617
0.649	1.33274	0.217617
0.65	1.55527	0.217617
0.651	0.0637537	0.217617
0.652	-1.66225	0.217617
0.653	-2.1028	0.217617
0.654	0.161649	0.217617
0.655	1.02667	0.217617
0.656	1.02634	0.217617
0.657	0.524259	0.217617
0.658	0.11169	0.217617
0.659	-0.232306	0.217617
0.66	-0.552974	0.217617
0.661	-0.645691	0.217617
0.662	-0.339114	0.217617
0.663	0.193619	0.217617
0.664	-0.446979	0.217617
0.665	0.367642	0.217617
0.666	1.5264	0.217617
0.667	1.36769	0.217236
0.668	-0.473633	0.217617
0.669	-2.13843	0.217617
0.67	-1.6899	0.217617
0.671	0.557848	0.217617
0.672	0.961335	0.217236
0.673	0.834654	0.217236
0.674	0.58625	0.217236
0.675	0.230596	0.217236
0.676	-0.198009	0.217236
0.677	-0.634821	0.217236
0.678	-0.75759	0.217236
0.679	-0.455859	0.217236
0.68	-0.0930595	0.217617
0.681	-0.150648	0.217236
0.682	1.18082	0.217236
0.683	1.58888	0.217236
0.684	0.588343	0.217236
0.685	-1.24778	0.217236
0.686	-2.23242	0.217236
