Time	EMG	Muscle Force
0	0	0.22295
0.001	0	0.22295
0.002	0	0.222569
0.003	0	0.222569
0.004	0	0.222569
0.005	0	0.222569
0.006	0	0.222188
0.007	0	0.222188
0.008	0	0.221807
0.009	0	0.221807
0.01	0	0.221807
0.011	0	0.221427
0.012	0	0.221427
0.013	0	0.221046
0.014	0	0.221046
0.015	0	0.220664
0.016	0	0.220664
0.017	0	0.220664
0.018	0	0.220283
0.019	0	0.220283
0.02	0	0.219902
0.021	0	0.219902
0.022	0	0.219902
0.023	0	0.219522
0.024	0	0.219522
0.025	0	0.219522
0.026	0	0.219141
0.027	0	0.219141
0.028	0	0.21876
0.029	0	0.21876
0.03	0	0.21876
0.031	0	0.21876
0.032	0	0.21876
0.033	0	0.218379
0.034	0	0.218379
0.035	0	0.218379
0.036	0	0.218379
0.037	0	0.218379
0.038	0	0.217998
0.039	0	0.217998
0.04	0	0.217998
0.041	0	0.217998
0.042	0	0.217998
0.043	0	0.217998
0.044	0	0.217998
0.045	0	0.217998
0.046	0	0.217998
0.047	0	0.217617
0.048	0	0.217617
0.049	0	0.217617
0.05	0	0.217998
0.051	-0.463254	0.217617
0.052	0.610135	0.217617
0.053	0.611396	0.217617
0.054	0.450806	0.217617
0.055	0.27904	0.217617
0.056	0.170711	0.217617
0.057	0.0368209	0.217617
0.058	-0.38753	0.217617
0.059	-0.80302	0.217617
0.06	-0.581085	0.217617
0.061	-0.235031	0.217617
0.062	0.221795	0.217617
0.063	1.4353	0.217617
0.064	1.32326	0.217617
0.065	-0.0825303	0.217617
0.066	-1.30212	0.217617
0.067	-1.41957	0.217617
0.068	-0.0146839	0.217617
0.069	0.336672	0.217617
0.07	0.328352	0.217617
0.071	0.559075	0.217236
0.072	0.439014	0.217617
0.073	0.126822	0.217236
0.074	-0.113489	0.217236
0.075	-0.344433	0.217617
0.076	-0.41772	0.217617
0.077	-0.261831	0.217617
0.078	-0.676067	0.217617
0.079	-0.160799	0.217617
0.08	1.27951	0.217236
0.081	1.68261	0.217617
0.082	0.00454437	0.217617
0.083	-1.51684	0.217617
0.084	-1.307	0.217617
0.085	0.184099	0.217617
0.086	0.345281	0.217617
0.087	0.391924	0.217617
0.088	0.435719	0.217617
